BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
5F-ADB ,2588,135789,1.91,1
5F-AEB,122,135789,0.09,1
5F-EDMB-PINACA,346,135789,0.25,1
5F-MDMB-PICA,276,135789,0.2,1
6-Acetylmorphine,140,135789,0.1,1
ADB-FUBINACA,113,135789,0.08,1
Acetaminophen,794,135789,0.58,1
Alprazolam,3750,135789,2.76,1
Amphetamine,962,135789,0.71,1
Benzocaine,199,135789,0.15,1
Buprenorphine,128,135789,0.09,1
Caffeine,1807,135789,1.33,1
Cannabidiol,461,135789,0.34,1
Cannabis/THC,26799,135789,19.74,1
Carisoprodol,325,135789,0.24,1
Clonazepam,285,135789,0.21,1
Cocaine,22188,135789,16.34,1
Codeine,498,135789,0.37,1
Diazepam,106,135789,0.08,1
Dimethylsulfone,666,135789,0.49,1
Diphenhydramine,373,135789,0.27,1
Etizolam,341,135789,0.25,1
FUB-AMB ,1120,135789,0.82,1
Fentanyl,271,135789,0.2,1
Gamma hydroxy butrate,118,135789,0.09,1
Heroin,6482,135789,4.77,1
Hydrocodone,1258,135789,0.93,1
Hydromorphone,119,135789,0.09,1
Lidocaine,262,135789,0.19,1
Lisdexamfetamine,150,135789,0.11,1
Lysergic acid diethylamide (LSD),257,135789,0.19,1
MDMA,402,135789,0.3,1
Methadone,161,135789,0.12,1
Methamphetamine,51681,135789,38.06,1
Methylphenidate,103,135789,0.08,1
Morphine,173,135789,0.13,1
N-Ethylpentylone,1180,135789,0.87,1
Nicotine,435,135789,0.32,1
"Noncontrolled, non-narcotic",373,135789,0.27,1
Oxycodone,513,135789,0.38,1
Phenacetin,90,135789,0.07,1
Phencyclidine (PCP),1159,135789,0.85,1
Phenylimidothiazole (undetermined isomer),424,135789,0.31,1
Promethazine,803,135789,0.59,1
Psilocin,385,135789,0.28,1
Testosterone,204,135789,0.15,1
Tetrahydrocannabinols,195,135789,0.14,1
Tetramisole,414,135789,0.3,1
Tramadol,384,135789,0.28,1
Trazodone,85,135789,0.06,1
Totals,,,,50
